Report generated on: 01-12-2026 09:40:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.26-1-RWA-BCF.A","        Rwanda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.140588","0.210882","1.019263","1.057889553","1.742271937","2.128678055","2.074270499","2.210500271","2.24835359","2.24835359"
"INTL.26-1-SHN-BCF.A","        Saint Helena","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-KNA-BCF.A","        Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-LCA-BCF.A","        Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SPM-BCF.A","        Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-VCT-BCF.A","        Saint Vincent/Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-WSM-BCF.A","        Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-STP-BCF.A","        Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SAU-BCF.A","        Saudi Arabia","334","564","430","418","620","716","890","946","1028","1052","1077","1130","1200.71","1267.8085","1331.37","1343.38","1459.9221","1601.1821","1653.4483","1631.553","1759.04015","1896.06235","2002.3605","2121.0189","2319.4892","2515.8406","2594.2399","2628.1423","2840.7386","2770.46175","3095.7129","3258.1619","3439.32785","3461.92945","3547.39175","3614.1371","3739.1158233","3858.867971","3928.061466","3982.174327","4017.991135","4081.529088","4303.814088","4280.819088"
"INTL.26-1-SEN-BCF.A","        Senegal","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7063","1.41","1.77","2.1189","1.4126","1.4126","1.4126","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.4126","1.69512","2.1189","2.1189","2.18953","2.1189006","2.1189006","2.1189006","2.303703526","2.255833312","1.92980974","1.22351574","1.22351574"
"INTL.26-1-SRB-BCF.A","        Serbia","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","7.063","3.5315","3.5315","6.70985","12.36025","18.3638","19.84703","21.8953","21.189","21.189","19.423265","18.0813064","16.69236726","16.09602811","15.25011011","13.61900813","12.47936666","11.88710456"
"INTL.26-1-SYC-BCF.A","        Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SLE-BCF.A","        Sierra Leone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SGP-BCF.A","        Singapore","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SVK-BCF.A","        Slovakia","--","--","--","--","--","--","--","--","--","--","--","--","--","8.934695","10.31198","12.01","11.08891","10.206035","9.1819","7.522095","6.109495","6.92174","6.250755","6.957055","5.826975","5.191305","6.85111","4.52032","3.60213","3.637445","3.67276","4.273115","5.29725","4.37906","3.5315","3.31961","3.2842953","5.026982602","2.848623474","2.446464866","2.207482113","1.961453113","1.856012113","1.645130113"
"INTL.26-1-SVN-BCF.A","        Slovenia","--","--","--","--","--","--","--","--","--","--","--","--","0.57","0.7063","0.35","0.35","0.35","0.459095","0.317835","0","0","0","0.21189","0.176575","0.176575","0.14126","0.14126","0.105945","0.105945","0.105945","0.247205","0.07063","0.07063","0.105945","0.105945","0.105945","0.1765744","0.2825185","0.550830698","0.356419863","0.172831232","0.162849484","0.13641894","0.141761284"
"INTL.26-1-SLB-BCF.A","        Solomon Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SOM-BCF.A","        Somalia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ZAF-BCF.A","        South Africa","0","0","0","0","0","0","0","0","0","0","0","0","44.4969","63.392","69.217","69.22","65.0098464183381","61.80125","51.20675","49.441","58.26975","74.1615","81.2245","80.5182","71.68945","65.6859","102.4135","54.03195","48.0284","37.4339","34.25555","45.2032","38.8465","41.6717","33.54925","38.8465","34.2909037","32.1013923","38.13216059","43.42094056","41.52447874","2.557281011","2.37792587","2.334097561"
"INTL.26-1-KOR-BCF.A","        South Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.37498","15.46797","12.50151","7.663355","17.692815","19.105415","15.997695","15.39734","16.350845","11.37143","6.63922","5.4364275023427","12.02464049247","10.78071217","9.138444506","6.54347432","1.946798914","0","0"
"INTL.26-1-SSD-BCF.A","        South Sudan","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ESP-BCF.A","        Spain","0","0","0","2.4","7.7","8.8","13","25","31","55","49","46","42.130795","22.707545","6.886425","14.66","16.45679","6.28607","3.95528","5.050045","5.72103","18.22254","19.034785","7.592725","12.64277","5.897605","2.577995","0.63567","0.600355","0.49441","1.801065","1.83638","2.154215","2.012955","0.84756","2.18953","1.9070124","1.2360145","3.2136377","4.6968551","2.0482526","1.672625642","1.448224011","1.205077065"
"INTL.26-1-LKA-BCF.A","        Sri Lanka","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SDN-BCF.A","        Sudan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SUR-BCF.A","        Suriname","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.175735","0.140588","0.175735","0.181850578","0.197772169","0.215029346","0.232356817","0.251055021","0.253304429","0.253304429"
"INTL.26-1-SWE-BCF.A","        Sweden","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CHE-BCF.A","        Switzerland","0","0","0","0","0","1","1","0.3","0.2","0.1","0.141","0.105","0.105","0.07063","0.035315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SYR-BCF.A","        Syria","17","8.8","9","8.8","9","5","9","22","18","35","103","124","127.134","130.6655","134.19","103.83","141.9663","161.0364","203.06125","213.3026","215.4215","197.41085","240.142","241.90775","250.7365","215.4215","220.71875","211.89","208.3585","229.90065","315.7161","277.92905","227.78175","187.1695","173.0435","151.8545","132.431415","130.674065","129.971125","124.699075","109.585865","116.615265","95.527065","97.565591"
"INTL.26-1-TWN-BCF.A","        Taiwan","43","53","47","47","52","50","40","43","24","50","80","34.3492198","31.0772","29.31","32.49","33.55","32.13665","32.84295","31.43035","31.43035","31.43035","30.01775","32.84295","29.31145","30.01775","28.252","15.18545","13.4197","10.94765","10.94765","9.1819","10.24135","14.020055","12.113045","12.042415","11.86584","10.2060491","8.4403141","5.79339353","4.607604044","2.674519044","2.864172256","2.301995991","2.145767576"
"INTL.26-1-TJK-BCF.A","        Tajikistan","--","--","--","--","--","--","--","--","--","--","--","--","3.53","0","1.17","1.38","0.99","1.4126","2.1189","2.1189","1.4126","1.76575","0.7063","1.4126","1.377285","1.447915","1.27134","0.7063","1.05945","1.34197","1.447915","0.670985","0.529725","0.459095","0.42378","0.7063","0.67082734375","0.6700390625","0.648950863","0.648950863","0.652465563","0.652465563","0.652465563","0.652465563"
"INTL.26-1-TZA-BCF.A","        Tanzania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2","14.4","17.8","18.71695","19.8","23.23727","27.5457","17.6575","20.4827","22.95475","19.7465","23.6155","31.755","33.434","44.9315","48.691","41.98586622","49.78864081","63.85731712","71.1774531"
"INTL.26-1-THA-BCF.A","        Thailand","0","40","47","57","70","128","112","132","193","182","208","236","249","310.41885","341.84","367.63","428.37095","537.84745","568.5715","625.42865","657.5653","659.33105","705.5937","768.4544","789.6434","836.9655","858.8608","918.19","1015.6594","1090.5272","1278.403","1292.529","1447.915","1476.272945","1486.867445","1406.17267","1383.7125208","1363.1593654","1329.179456","1353.214697","1216.807011","1199.014721","1087.578768","1045.804443"
"INTL.26-1-BHS-BCF.A","        The Bahamas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-TLS-BCF.A","        Timor-Leste","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","146.9104","200.23605","230.2538","231.6664","211.53685","196.3514","193.87935","227.78175","222.4845","271.9255","222.8004423","204.2955395","220.9453156","194.8427226","236.8852051","214.2169203","103.3114368","18.40012774"
"INTL.26-1-TGO-BCF.A","        Togo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-TON-BCF.A","        Tonga","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-TTO-BCF.A","        Trinidad and Tobago","81","81","102","127","192","216","152","143","154","162","177","201","194.2325","218","249.68","268.04","302.64955","328.4295","328.4295","414.24495","493.35055","536.43485","610.9495","930.1971","964.0995","1094.0587","1286.8786","1377.63815","1387.8795","1437.3205","1499.4749","1458.5095","1430.9638","1511.482","1382.985","1305.97","1136.613618","1159.964475","1240.3336","1258.747216","1090.755094","908.3881576","954.5237618","917.9827614"
"INTL.26-1-TUN-BCF.A","        Tunisia","13","14","18","16","20","14","15","13","12","13","12","8.4756","14.126","13.07","12.36","11.65","27.89885","58.6229","67.0985","67.0985","66.3922","79.45875","75.92725","80.87135","84.756","88.2875","88.2875","55.7977","104.88555","63.92015","71.68945","68.15795","65.6859","65.33275","58.658215","55.621125","48.3462968","45.026715","43.10116376","39.6182298","42.49111395","55.81323283","54.75379183","46.35671662"
"INTL.26-1-TUR-BCF.A","        Turkiye","0","0","1","2.5","1.4","2","16","10","3","6","7.48678","7.168945","6.99237","7.063","7.027685","6.42733","7.27489","8.934695","19.952975","25.815265","22.566285","11.01828","13.34907","19.7764","24.29672","31.677555","31.960075","31.536295","35.915355","24.15546","24.08483","26.874715","22.31908","18.964155","16.915885","13.455015","12.9606092","12.5015181","15.1023961","16.5785701","15.57301443","13.89369077","13.40901364","28.50885102"
"INTL.26-1-TKM-BCF.A","        Turkmenistan","--","--","--","--","--","--","--","--","--","--","--","--","2020.01","2288.41","1257.21","1140.67","1306.66","900.5325","466.158","787.5245","1642.1475","1702.183","1889.3525","2087.1165","2068.39955","2224.845","2076.522","2260.16","2260.16","1222.6053","1465.5725","2152.44925","2330.79","2542.68","2683.94","2830.92103","2692.134259","2735.208407144","2873.687587","2953.119807","2812.531807","2850.244538","3053.745668","2976.201945"
"INTL.26-1-TCA-BCF.A","        Turks and Caicos Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-TUV-BCF.A","        Tuvalu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-USIQ-BCF.A","        U.S. Pacific Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"none","        U.S. Territories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-VIR-BCF.A","        U.S. Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-UGA-BCF.A","        Uganda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-UKR-BCF.A","        Ukraine","--","--","--","--","--","--","--","--","--","--","--","--","738.08","678.05","642.73","619.89","642.73","639.2015","639.2015","632.1385","635.67","642.733","649.796","688.6425","678.048","685.111","688.6425","688.6425","699.237","715.4819","699.237","699.237","699.237","720.426","709.8315","670.985","696.052737","696.7237163","706.9630567","697.0721285","685.0150205","667.9687255","617.3211955","624.3841355"
"INTL.26-1-ARE-BCF.A","        United Arab Emirates","200","230","200","270","344","484","537","682","660","812","780","916","1022.7224","936.779","911.83","1106.06","1193.647","1282.28765","1309.12705","1343.3826","1355.3897","1389.9984","1532.31785","1581.75885","1634.73135","1659.45185","1723.01885","1777.7571","1774.2256","1723.93704","1810.9532","1847.25702","1917.6045","1928.199","1915.62686","2125.292015","2157.1811891","1927.735689","1712.74149","1963.269306","1962.109455","1940.678994","1932.43653","1970.544735"
"INTL.26-1-GBR-BCF.A","        United Kingdom","1323","1327","1365","1403","1364","1522","1596","1679","1617","1585","1754","2005","1964.467505","2313.133","2466.05","2665.58","3176.58425","3031.4396","3143.7413","3485.94365","3825.67395","3689.35805","3658.28085","3632.14775","3425.555","3117.96135","2818.8433","2553.2745","2468.5185","2087.1165","2110.98944","1683.46605","1452.188115","1360.75758","1330.129644","1428.494546","1470.373619","1486.174952","1438.051171","1390.365826","1392.011195","1149.692914","1332.168264","1201.734021"
"INTL.26-1-USA-BCF.A","        United States","19403.119","19181.261","17820.057","16094.463","17466.477","16453.853","16059.03","16620.581","17102.621","17310.645","17809.674","17697.802393","17839.903111","18095.459626","18821.024575","18598.679287","18854.062558","18902.38863","19023.564289","18832.232368","19181.979898","19616.310558","18927.788245","19098.544465","18590.890546","18050.597772","18503.604765","19266.025802","20158.601648","20623.854028","21315.506819","22901.878595","24033.266236","24205.52329","25889.605162","27065.459891","26592.11501","27340.583495","30774.274153","33899.020594","33811.129105","34529.276007","36254.942471","37803.268298"
"INTL.26-1-URY-BCF.A","        Uruguay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-UZB-BCF.A","        Uzbekistan","--","--","--","--","--","--","--","--","--","--","--","--","1511.48","1589.18","1666.87","1695.12","1695.12","1737.498","1935.262","1963.514","1991.766","2228.3765","2037.6755","2029.941515","2113.9559","2107.95235","2215.6631","2302.149535","2387.294","2168.62352","2122.78465","2226.2576","2165.16265","2105.83345","2099.1236","1967.0455","1823.314671","1840.3427772545","1970.082163","1974.681462","1622.352296","1754.975214","1703.365289","1527.31618"
"INTL.26-1-VUT-BCF.A","        Vanuatu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-VEN-BCF.A","        Venezuela","517","572","600","576","610","618","674","657","656","769","760.89","793.48","763.43967","815","876.16","890.22","960.568","993.7641","1110.3036","945.7357","960.568","1119.83865","1003.29915","861.686","960.568","827.92486","918.19","732.044635","732.78625","650.820134999999","696.69432","733.457235","802.56869","770.537985","772.62157","918.295945","971.9389743","956.3651916","823.1799863","702.2743063","672.1322912","747.314099","829.4366828","843.0809348"
"INTL.26-1-VNM-BCF.A","        Vietnam","0","0.4","2.3","2.3","2.1","1.4","1.4","1.4","1.1","1.1","1.41","2.47","7.416","8.82875","8.83","25.07","29.31145","8.12245","24.7205","35.315","40.61225","45.9095","79.8119","95.3505","105.945","141.26","201.2955","208.3585","246.4987","250.38335","289.583","272.27865","293.8208","303.0027","342.5349327","357.6319669","356.0149068","328.6523709","335.3789384","343.2655938","301.5448072","246.4834722","271.0756372","264.153956"
"INTL.26-1-WAK-BCF.A","        Wake Island","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ESH-BCF.A","        Western Sahara","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-YEM-BCF.A","        Yemen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.5456999999999","220.3656","331.961","257.7995","363.7445","328.4295","95.3505","17.2338166","10.2044166","3.1750166","0.3632566","0.3632566","0.3632566","0.3632566","0.3632566"
"INTL.26-1-ZMB-BCF.A","        Zambia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ZWE-BCF.A","        Zimbabwe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
